&77, !111, @40.7127, #-74.0059, $13:52:33, %rgbimage1.jpg
&67, !231, @40.7127, #-74.0059, $14:03:43, %rgbimage2.jpg
&88, !176, @40.7127, #-74.0059, $14:06:13, %rgbimage3.jpg
&120, !150, @40.7127, #-74.0059, $15:05:24, %rgbimage4.jpg
&188, !201, @40.7127, #-74.0059, $15:34:16, %rgbimage5.jpg
&83, !90, @40.7127, #-74.0059, $15:56:57, %rgbimage6.jpg
&77, !111, @40.7127, #-74.0059, $13:52:33, %rgbimage7.jpg
&67, !231, @40.7127, #-74.0059, $14:03:43, %rgbimage8.jpg
&88, !176, @40.7127, #-74.0059, $14:06:13, %rgbimage9.jpg
&120, !150, @40.7127, #-74.0059, $15:05:24, %rgbimage10.jpg
&188, !201, @40.7127, #-74.0059, $15:34:16, %rgbimage11.jpg
&83, !90, @40.7127, #-74.0059, $15:56:57, %rgbimage12.jpg
&77, !111, @40.7127, #-74.0059, $13:52:33, %rgbimage13.jpg
&67, !231, @40.7127, #-74.0059, $14:03:43, %rgbimage14.jpg
&88, !176, @40.7127, #-74.0059, $14:06:13, %rgbimage15.jpg
&120, !150, @40.7127, #-74.0059, $15:05:24, %rgbimage16.jpg
&188, !201, @40.7127, #-74.0059, $15:34:16, %rgbimage17.jpg
&83, !90, @40.7127, #-74.0059, $15:56:57, %rgbimage18.jpg
&77, !111, @40.7127, #-74.0059, $13:52:33, %rgbimage19.jpg
